TE;seTE;studlab;treat1;treat2
-1.051293027;0.413243231;1;A;C
-0.128527575;0.475980251;1;A;D
0.922765452;0.39979716;1;C;D
-0.001244555;0.450406958;2;B;C
-0.225333286;0.383939346;2;B;D
-0.224088731;0.372299504;2;C;D
-2.202289286;0.143043865;3;A;C
-0.870353637;0.791093254;4;A;C
-0.415648522;0.155732898;5;A;C
-2.779683746;1.46984025;6;A;C
-2.705393275;0.625160819;7;A;C
-2.425187415;1.04225123;8;A;C
-0.443616874;0.521976909;9;A;C
0.015964936;0.169915046;10;A;B
-0.393504544;0.326575446;11;A;B
-0.390412268;0.168017708;12;A;C
-0.10633565;0.595599682;13;A;C
-0.583398287;0.298346728;14;A;C
-3.52251683;1.49699705;15;A;D
-0.679594214;0.441115796;16;A;B
-0.539679846;0.140119917;17;A;C
0.125505082;0.319992422;18;A;C
0.239970162;0.173656434;19;A;C
-0.038956007;0.187384204;20;A;C
0.151684587;0.428975286;21;B;C
-1.043486306;0.448979522;22;B;D
-0.680724661;0.409239358;23;C;D
0.405465108;0.713906041;24;C;D
