TE;seTE;studlab;treat1;treat2
-0.7069;0.4287;1;1;2
-1.2933;0.4227;2;1;2
-1.6319;0.6076;3;1;2
-0.8391;0.4543;4;1;2
-5.1527;1.45;5;1;3
-4.0763;1.4747;6;1;4
-3.2321;0.7862;7;1;3
-1.1632;1.1247;8;1;4
-1.6802;0.4443;9;1;2
-2.4849;0.5381;10;1;5
0;0.8165;11;3;6
-3.3998;1.4527;12;1;3
-3.2241;0.4078;13;1;4
-3.3266;0.6755;14;1;5
-2.621;0.5475;15;1;5
-3.0888;0.5388;16;1;6
-4.1017;0.607;17;1;4
-2.4902;0.2764;18;1;4
-2.2548;1.5713;19;1;4
-3.9478;0.6104;20;1;4
0.1367;0.37;21;1;4
-0.2448;0.6159;22;4;7
-2.137;1.1131;22;7;8
-2.3817;1.1078;22;4;8
-2.7642;0.8146;23;4;7
-2.1145;0.5023;24;1;5
-2.2003;0.4821;25;1;9
-6.4754;1.5717;26;1;4
-3.154;0.769;27;1;6
-0.5564;0.2344;28;1;6
2.502;0.5005;28;6;8
1.9456;0.4999;28;1;8
-1.6112;0.6282;29;1;4
-1.8099;0.6269;30;1;4
-3.3759;0.5914;31;1;5
-2.6507;0.5733;32;1;6
-2.1698;0.3323;33;1;5
-2.8571;0.3413;33;1;6
-0.6873;0.2033;33;5;6
-2.6659;0.241;34;1;9
-1.2164;0.6562;35;4;5
