TE;seTE;studlab;treat1;treat2
0.850150929;0.698594437;1;1;2
3.044522438;1.345185418;2;1;2
2.525728644;0.912870929;3;1;2
1.178654996;0.47683914;4;3;1
0.510825624;1.125462868;5;3;4
-2.944438979;0.792232023;6;1;4
0.613104473;0.747860195;7;3;4
-1.939320339;1.497053881;8;1;4
3.470190253;1.597617273;9;1;2
1.974081026;1.121754578;10;3;1
1.839961571;0.776703273;11;1;2
1.791759469;0.905231708;12;1;2
0.923670839;0.516872192;13;1;2
1.609437912;0.669043382;14;1;2
0.559615788;0.660987717;15;3;2
0.708651367;0.560734409;16;1;2
